BTC,Bitcoin
ETH,Ethereum
USDT,Tether
USDC,USD Coin
BNB,BNB
BUSD,Binance USD
XRP,XRP
ADA,Cardano
SOL,Solana
DOT,Polkadot
DOGE,Dogecoin
MATIC,Polygon
SHIB,Shiba Inu
DAI,Dai
AVAX,Avalanche
TRX,TRON
ETC,Ethereum Classic
WBTC,Wrapped Bitcoin
UNI,Uniswap
LEO,UNUS SED LEO
LTC,Litecoin
ATOM,Cosmos
LINK,Chainlink
FTT,FTX Token
NEAR,NEAR Protocol
LUNC,Terra Classic
CRO,Cronos
XMR,Monero
XLM,Stellar
BCH,Bitcoin Cash
ALGO,Algorand
FLOW,Flow
VET,VeChain
ICP,Internet Computer
FIL,Filecoin
EOS,EOS
APE,ApeCoin
MANA,Decentraland
XTZ,Tezos
SAND,The Sandbox
HBAR,Hedera
AAVE,Aave
QNT,Quant
EGLD,Elrond
CHZ,Chiliz
AXS,Axie Infinity
THETA,Theta Network
TUSD,TrueUSD
BSV,Bitcoin SV
OKB,OKB
ZEC,Zcash
USDP,Pax Dollar
KCS,KuCoin Token
BTT,BitTorrent-New
XEC,eCash
MIOTA,IOTA
GRT,The Graph
MKR,Maker
HT,Huobi Token
USDD,USDD
SNX,Synthetix
FTM,Fantom
NEO,Neo
KLAY,Klaytn
USDN,Neutrino USD
RUNE,THORChain
LDO,Lido DAO
HNT,Helium
CRV,Curve DAO Token
CAKE,PancakeSwap
PAXG,PAX Gold
ENJ,Enjin Coin
DASH,Dash
NEXO,Nexo
BAT,Basic Attention Token
WAVES,Waves
STX,Stacks
ZIL,Zilliqa
LRC,Loopring
RVN,Ravencoin
MINA,Mina
BTG,Bitcoin Gold
GT,GateToken
KSM,Kusama
DCR,Decred
GNO,Gnosis
KAVA,Kava
TWT,Trust Wallet Token
FEI,Fei USD
GMT,STEPN
USTC,TerraClassicUSD
XEM,NEM
CELO,Celo
1INCH,1inch Network
AR,Arweave
COMP,Compound
CVX,Convex Finance
HOT,Holo
GUSD,Gemini Dollar
YFI,yearn.finance
ANKR,Ankr
GALA,Gala
QTUM,Qtum
FLUX,Flux
KNC,Kyber Network Crystal v2
BAL,Balancer
CEL,Celsius
ROSE,Oasis Network
ENS,Ethereum Name Service
XDC,XDC Network
KDA,Kadena
POLY,Polymath
TFUEL,Theta Fuel
GLM,Golem
OP,Optimism
IOTX,IoTeX
OMG,OMG Network
BORA,BORA
RSR,Reserve Rights
ONE,Harmony
ZRX,0x
ICX,ICON
LPT,Livepeer
LUNA,Terra
HIVE,Hive
IOST,IOST
VGX,Voyager Token
AMP,Amp
JST,JUST
AUDIO,Audius
BTRST,Braintrust
XYM,Symbol
STORJ,Storj
SRM,Serum
ONT,Ontology
ZEN,Horizen
SC,Siacoin
WAXP,WAX
IMX,Immutable X
ABBC,ABBC Coin
SXP,SXP
SKL,SKALE Network
GLMR,Moonbeam
WOO,WOO Network
UMA,UMA
MXC,MXC
CHSB,SwissBorg
SCRT,Secret
XCH,Chia
PLA,PlayDapp
SLP,Smooth Love Potion
DAO,DAO Maker
SUSHI,SushiSwap
CSPR,Casper
DGB,DigiByte
NFT,APENFT
ELON,Dogelon Mars
CVC,Civic
BTCST,Bitcoin Standard Hashrate Token
EWT,Energy Web Token
CEEK,CEEK VR
LSK,Lisk
RNDR,Render Token
SPELL,Spell Token
KEEP,Keep Network
EPS,Ellipsis
PUNDIX,Pundi X (New)
MED,MediBloc
CELR,Celer Network
REN,Ren
CKB,Nervos Network
REQ,Request
XNO,Nano
UOS,Ultra
NU,NuCypher
ONG,Ontology Gas
INJ,Injective
TRIBE,Tribe
CFX,Conflux
ARDR,Ardor
ORBS,Orbs
OCEAN,Ocean Protocol
PEOPLE,ConstitutionDAO
COTI,COTI
POWR,Powerledger
NMR,Numeraire
FXS,Frax Share
PROM,Prom
API3,API3
WIN,WINkLink
CHR,Chromia
RLY,Rally
SNT,Status
FX,Function X
RLC,iExec RLC
DENT,Dent
BNT,Bancor
DYDX,dYdX
SYS,Syscoin
XYO,XYO
HEX,HEX
WTRX,Wrapped TRON
stETH,Lido Staked ETH
YOUC,yOUcash
TON,Toncoin
BTCB,Bitcoin BEP2
FRAX,Frax
XCN,Chain
BIT,BitDAO
WBNB,Wrapped BNB
BTTOLD,BitTorrent
HBTC,Huobi BTC
DFI,DeFiChain
XAUT,Tether Gold
OSMO,Osmosis
MV,GensoKishi Metaverse
NXM,NXM
RPL,Rocket Pool
CCXX,Counos X
BRISE,Bitgert
BNX,BinaryX
ERG,Ergo
FRTS,Fruits
T,Threshold
SYN,Synapse
WEMIX,WEMIX
ZEON,ZEON
LN,LINK
SAFE,Safe
LUSD,Liquity USD
HUSD,HUSD
VVS,VVS Finance
SSV,ssv.network
BabyDoge,Baby Doge Coin
METIS,MetisDAO
HUM,Humanscape
ASTR,Astar
MAID,MaidSafeCoin
LOOKS,LooksRare
EURS,STASIS EURO
MVL,MVL
RACA,RadioCaca
STG,Stargate Finance
PLTC,PlatonCoin
SAFEMOON,SafeMoon
CFG,Centrifuge
